ליגה,Code,Week Day,תאריך,מחזור,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
לאומית,741623,יום שלישי,21-10-2025,3,19:30,מ.ס צפת,4818,א.ס. עירוני אשקלון,920,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741616,יום שלישי,21-10-2025,3,19:30,מ.כ עוטף דרום,12645,א.ס רמה&quot;ש ירק השדה,585,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741622,יום שישי,24-10-2025,3,13:30,הפועל מגדל העמק-יזרעאל,2267,מכבי חיפה גיא נתן,69,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741617,יום שישי,24-10-2025,3,13:45,הפועל נווה שאנן חיפה,4153,עירוני נהריה,26,"היכל הספורט רוממה, חיפה",,
לאומית,741628,יום שלישי,28-10-2025,4,18:30,מכבי רחובות,75,מכבי אשדוד,7261,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741624,יום שלישי,28-10-2025,4,19:00,עירוני נהריה,26,מכבי מעלה אדומים,3745,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741631,יום שלישי,28-10-2025,4,19:00,א.ס רמה&quot;ש ירק השדה,585,א.ס. עירוני אשקלון,920,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741630,יום שלישי,28-10-2025,4,19:15,א.ס. אשקלון-קרית גת,3043,הפועל אילת,1278,"רח' אבני החושן, קרית גת",,
לאומית,741627,יום שלישי,28-10-2025,4,19:30,מכבי פתח תקווה מנדל,42,הפועל מגדל העמק-יזרעאל,2267,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741625,יום שלישי,28-10-2025,4,19:30,מ.כ עוטף דרום,12645,הפועל נווה שאנן חיפה,4153,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741629,יום שישי,31-10-2025,4,12:30,אליצור שומרון,4083,אליצור יבנה,168,"ישיבת אמית, ברוכין",,
לאומית,741626,יום שישי,31-10-2025,4,12:45,מכבי חיפה גיא נתן,69,מ.ס צפת,4818,"היכל הספורט רוממה, חיפה",,
לאומית,741637,יום שלישי,04-11-2025,5,18:30,הפועל מגדל העמק-יזרעאל,2267,מכבי רחובות,75,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741639,יום שלישי,04-11-2025,5,19:00,א.ס. עירוני אשקלון,920,מכבי חיפה גיא נתן,69,"שד' בן גוריון 37, אשקלון",,
לאומית,741634,יום שלישי,04-11-2025,5,19:00,הפועל אילת,1278,עירוני נהריה,26,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741633,יום שלישי,04-11-2025,5,19:00,מכבי מעלה אדומים,3745,מ.כ עוטף דרום,12645,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741635,יום שלישי,04-11-2025,5,19:15,אליצור יבנה,168,א.ס. אשקלון-קרית גת,3043,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741638,יום שלישי,04-11-2025,5,19:30,מ.ס צפת,4818,מכבי פתח תקווה מנדל,42,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741618,יום שישי,07-11-2025,3,12:30,מכבי מעלה אדומים,3745,א.ס. אשקלון-קרית גת,3043,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741636,יום שישי,07-11-2025,5,12:30,מכבי אשדוד,7261,אליצור שומרון,4083,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741632,יום שישי,07-11-2025,5,12:45,הפועל נווה שאנן חיפה,4153,א.ס רמה&quot;ש ירק השדה,585,"היכל הספורט רוממה, חיפה",,
לאומית,741644,יום שלישי,11-11-2025,6,18:30,מכבי רחובות,75,מ.ס צפת,4818,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741640,יום שלישי,11-11-2025,6,18:45,עירוני נהריה,26,אליצור יבנה,168,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741645,יום שלישי,11-11-2025,6,19:00,אליצור שומרון,4083,הפועל מגדל העמק-יזרעאל,2267,"ישיבת אמית, ברוכין",,
לאומית,741642,יום שלישי,11-11-2025,6,19:00,הפועל נווה שאנן חיפה,4153,מכבי מעלה אדומים,3745,"היכל הספורט רוממה, חיפה",,
לאומית,741647,יום שלישי,11-11-2025,6,19:15,א.ס רמה&quot;ש ירק השדה,585,מכבי חיפה גיא נתן,69,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741643,יום שלישי,11-11-2025,6,19:30,מכבי פתח תקווה מנדל,42,א.ס. עירוני אשקלון,920,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741646,יום שישי,14-11-2025,6,12:45,א.ס. אשקלון-קרית גת,3043,מכבי אשדוד,7261,"רח' אבני החושן, קרית גת",,
לאומית,741641,יום שישי,14-11-2025,6,12:45,מ.כ עוטף דרום,12645,הפועל אילת,1278,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741649,יום שלישי,18-11-2025,7,18:30,הפועל אילת,1278,הפועל נווה שאנן חיפה,4153,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741655,יום שלישי,18-11-2025,7,18:45,מכבי חיפה גיא נתן,69,מכבי פתח תקווה מנדל,42,"היכל הספורט רוממה, חיפה",,
לאומית,741654,יום שלישי,18-11-2025,7,19:00,א.ס. עירוני אשקלון,920,מכבי רחובות,75,"שד' בן גוריון 37, אשקלון",,
לאומית,741652,יום שלישי,18-11-2025,7,19:00,הפועל מגדל העמק-יזרעאל,2267,א.ס. אשקלון-קרית גת,3043,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741651,יום שלישי,18-11-2025,7,19:00,מכבי אשדוד,7261,עירוני נהריה,26,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741650,יום שלישי,18-11-2025,7,19:15,אליצור יבנה,168,מ.כ עוטף דרום,12645,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741648,יום שלישי,18-11-2025,7,19:15,מכבי מעלה אדומים,3745,א.ס רמה&quot;ש ירק השדה,585,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741653,יום שלישי,18-11-2025,7,19:30,מ.ס צפת,4818,אליצור שומרון,4083,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741603,יום שישי,21-11-2025,1,12:45,מכבי מעלה אדומים,3745,מכבי רחובות,75,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741604,יום שישי,21-11-2025,1,13:00,הפועל אילת,1278,מכבי פתח תקווה מנדל,42,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741660,יום שלישי,25-11-2025,8,18:30,מכבי רחובות,75,מכבי חיפה גיא נתן,69,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741659,יום שלישי,25-11-2025,8,18:45,מכבי מעלה אדומים,3745,הפועל אילת,1278,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741663,יום שלישי,25-11-2025,8,19:00,א.ס רמה&quot;ש ירק השדה,585,מכבי פתח תקווה מנדל,42,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741661,יום שלישי,25-11-2025,8,19:00,אליצור שומרון,4083,א.ס. עירוני אשקלון,920,"ישיבת אמית, ברוכין",,
לאומית,741662,יום שלישי,25-11-2025,8,19:15,א.ס. אשקלון-קרית גת,3043,מ.ס צפת,4818,"רח' אבני החושן, קרית גת",,
לאומית,741658,יום שלישי,25-11-2025,8,19:30,הפועל נווה שאנן חיפה,4153,אליצור יבנה,168,"היכל הספורט רוממה, חיפה",,
לאומית,741657,יום שישי,28-11-2025,8,12:30,מ.כ עוטף דרום,12645,מכבי אשדוד,7261,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741656,יום שישי,28-11-2025,8,12:45,עירוני נהריה,26,הפועל מגדל העמק-יזרעאל,2267,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741669,יום שלישי,02-12-2025,9,18:30,א.ס. עירוני אשקלון,920,א.ס. אשקלון-קרית גת,3043,"שד' בן גוריון 37, אשקלון",,
לאומית,741664,יום שלישי,02-12-2025,9,18:45,הפועל אילת,1278,א.ס רמה&quot;ש ירק השדה,585,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741670,יום שלישי,02-12-2025,9,19:00,מכבי חיפה גיא נתן,69,אליצור שומרון,4083,"היכל הספורט רוממה, חיפה",,
לאומית,741667,יום שלישי,02-12-2025,9,19:00,הפועל מגדל העמק-יזרעאל,2267,מ.כ עוטף דרום,12645,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741665,יום שלישי,02-12-2025,9,19:15,אליצור יבנה,168,מכבי מעלה אדומים,3745,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741666,יום שלישי,02-12-2025,9,19:15,מכבי אשדוד,7261,הפועל נווה שאנן חיפה,4153,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741671,יום שלישי,02-12-2025,9,19:30,מכבי פתח תקווה מנדל,42,מכבי רחובות,75,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741668,יום שלישי,02-12-2025,9,19:30,מ.ס צפת,4818,עירוני נהריה,26,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741676,יום שישי,05-12-2025,10,12:30,הפועל אילת,1278,אליצור יבנה,168,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741675,יום שישי,05-12-2025,10,12:30,מכבי מעלה אדומים,3745,מכבי אשדוד,7261,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741679,שבת,06-12-2025,10,20:00,א.ס רמה&quot;ש ירק השדה,585,מכבי רחובות,75,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741674,שבת,06-12-2025,10,20:00,הפועל נווה שאנן חיפה,4153,הפועל מגדל העמק-יזרעאל,2267,"היכל הספורט רוממה, חיפה",,
לאומית,741678,שבת,06-12-2025,10,20:30,א.ס. אשקלון-קרית גת,3043,מכבי חיפה גיא נתן,69,"רח' אבני החושן, קרית גת",,
לאומית,741677,שבת,06-12-2025,10,20:30,אליצור שומרון,4083,מכבי פתח תקווה מנדל,42,"ישיבת אמית, ברוכין",,
לאומית,741672,יום ראשון,07-12-2025,10,19:00,עירוני נהריה,26,א.ס. עירוני אשקלון,920,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741673,יום ראשון,07-12-2025,10,19:30,מ.כ עוטף דרום,12645,מ.ס צפת,4818,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741682,יום שלישי,09-12-2025,11,19:00,הפועל מגדל העמק-יזרעאל,2267,מכבי מעלה אדומים,3745,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741681,יום שלישי,09-12-2025,11,19:00,מכבי אשדוד,7261,הפועל אילת,1278,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741680,יום שלישי,09-12-2025,11,19:15,אליצור יבנה,168,א.ס רמה&quot;ש ירק השדה,585,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741686,יום שלישי,09-12-2025,11,19:30,מכבי פתח תקווה מנדל,42,א.ס. אשקלון-קרית גת,3043,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741683,יום רביעי,10-12-2025,11,19:30,מ.ס צפת,4818,הפועל נווה שאנן חיפה,4153,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741684,יום שישי,12-12-2025,11,12:45,א.ס. עירוני אשקלון,920,מ.כ עוטף דרום,12645,"שד' בן גוריון 37, אשקלון",,
לאומית,741685,יום שישי,12-12-2025,11,13:00,מכבי חיפה גיא נתן,69,עירוני נהריה,26,"היכל הספורט רוממה, חיפה",,
לאומית,741691,יום שלישי,16-12-2025,12,18:30,מכבי מעלה אדומים,3745,מ.ס צפת,4818,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741688,יום שלישי,16-12-2025,12,18:45,עירוני נהריה,26,מכבי פתח תקווה מנדל,42,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741692,יום שלישי,16-12-2025,12,18:45,הפועל אילת,1278,הפועל מגדל העמק-יזרעאל,2267,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741693,יום שלישי,16-12-2025,12,19:00,אליצור יבנה,168,מכבי אשדוד,7261,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741695,יום שלישי,16-12-2025,12,19:00,א.ס רמה&quot;ש ירק השדה,585,אליצור שומרון,4083,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741694,יום שלישי,16-12-2025,12,19:15,א.ס. אשקלון-קרית גת,3043,מכבי רחובות,75,"רח' אבני החושן, קרית גת",,
לאומית,741690,יום שלישי,16-12-2025,12,19:15,הפועל נווה שאנן חיפה,4153,א.ס. עירוני אשקלון,920,"היכל הספורט רוממה, חיפה",,
לאומית,741689,יום שלישי,16-12-2025,12,19:30,מ.כ עוטף דרום,12645,מכבי חיפה גיא נתן,69,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741613,יום שישי,19-12-2025,2,12:30,אליצור שומרון,4083,מכבי מעלה אדומים,3745,"ישיבת אמית, ברוכין",,
לאומית,741612,יום שישי,19-12-2025,2,13:00,מכבי רחובות,75,הפועל אילת,1278,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741702,יום שלישי,23-12-2025,13,18:30,מכבי רחובות,75,עירוני נהריה,26,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741698,יום שלישי,23-12-2025,13,18:45,מ.ס צפת,4818,הפועל אילת,1278,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741700,יום שלישי,23-12-2025,13,19:00,מכבי חיפה גיא נתן,69,הפועל נווה שאנן חיפה,4153,"היכל הספורט רוממה, חיפה",,
לאומית,741697,יום שלישי,23-12-2025,13,19:00,הפועל מגדל העמק-יזרעאל,2267,אליצור יבנה,168,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741696,יום שלישי,23-12-2025,13,19:00,מכבי אשדוד,7261,א.ס רמה&quot;ש ירק השדה,585,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741701,יום שלישי,23-12-2025,13,19:30,מכבי פתח תקווה מנדל,42,מ.כ עוטף דרום,12645,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741699,יום שישי,26-12-2025,13,12:30,א.ס. עירוני אשקלון,920,מכבי מעלה אדומים,3745,"שד' בן גוריון 37, אשקלון",,
לאומית,741703,יום שישי,26-12-2025,13,12:30,אליצור שומרון,4083,א.ס. אשקלון-קרית גת,3043,"ישיבת אמית, ברוכין",,
לאומית,741710,יום שלישי,30-12-2025,14,18:30,מכבי אשדוד,7261,הפועל מגדל העמק-יזרעאל,2267,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741708,יום שלישי,30-12-2025,14,18:45,הפועל אילת,1278,א.ס. עירוני אשקלון,920,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741704,יום שלישי,30-12-2025,14,19:00,עירוני נהריה,26,אליצור שומרון,4083,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741709,יום שלישי,30-12-2025,14,19:00,אליצור יבנה,168,מ.ס צפת,4818,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741707,יום שלישי,30-12-2025,14,19:15,מכבי מעלה אדומים,3745,מכבי חיפה גיא נתן,69,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741705,יום שלישי,30-12-2025,14,19:30,מ.כ עוטף דרום,12645,מכבי רחובות,75,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741711,יום שישי,02-01-2026,14,12:45,א.ס רמה&quot;ש ירק השדה,585,א.ס. אשקלון-קרית גת,3043,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741706,יום שישי,02-01-2026,14,13:00,הפועל נווה שאנן חיפה,4153,מכבי פתח תקווה מנדל,42,"היכל הספורט רוממה, חיפה",,
לאומית,741718,יום שלישי,06-01-2026,15,18:30,אליצור שומרון,4083,מ.כ עוטף דרום,12645,"ישיבת אמית, ברוכין",,
לאומית,741715,יום שלישי,06-01-2026,15,19:00,מכבי חיפה גיא נתן,69,הפועל אילת,1278,"היכל הספורט רוממה, חיפה",,
לאומית,741719,יום שלישי,06-01-2026,15,19:00,א.ס. אשקלון-קרית גת,3043,עירוני נהריה,26,"רח' אבני החושן, קרית גת",,
לאומית,741712,יום שלישי,06-01-2026,15,19:15,הפועל מגדל העמק-יזרעאל,2267,א.ס רמה&quot;ש ירק השדה,585,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741716,יום שלישי,06-01-2026,15,19:30,מכבי פתח תקווה מנדל,42,מכבי מעלה אדומים,3745,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741713,יום שלישי,06-01-2026,15,19:30,מ.ס צפת,4818,מכבי אשדוד,7261,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741714,יום שישי,09-01-2026,15,12:45,א.ס. עירוני אשקלון,920,אליצור יבנה,168,"שד' בן גוריון 37, אשקלון",,
לאומית,741717,יום שישי,09-01-2026,15,13:00,מכבי רחובות,75,הפועל נווה שאנן חיפה,4153,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741723,יום שלישי,13-01-2026,16,18:30,מכבי רחובות,75,מכבי מעלה אדומים,3745,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741725,יום שלישי,13-01-2026,16,19:00,מכבי חיפה גיא נתן,69,אליצור יבנה,168,"היכל הספורט רוממה, חיפה",,
לאומית,741720,יום שלישי,13-01-2026,16,19:00,א.ס רמה&quot;ש ירק השדה,585,עירוני נהריה,26,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741726,יום שלישי,13-01-2026,16,19:00,א.ס. עירוני אשקלון,920,מכבי אשדוד,7261,"שד' בן גוריון 37, אשקלון",,
לאומית,741721,יום שלישי,13-01-2026,16,19:00,א.ס. אשקלון-קרית גת,3043,מ.כ עוטף דרום,12645,"רח' אבני החושן, קרית גת",,
לאומית,741722,יום שלישי,13-01-2026,16,19:00,אליצור שומרון,4083,הפועל נווה שאנן חיפה,4153,"ישיבת אמית, ברוכין",,
לאומית,741724,יום שלישי,13-01-2026,16,19:30,מכבי פתח תקווה מנדל,42,הפועל אילת,1278,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741727,יום שלישי,13-01-2026,16,19:30,מ.ס צפת,4818,הפועל מגדל העמק-יזרעאל,2267,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741731,יום שלישי,20-01-2026,17,19:00,אליצור יבנה,168,מכבי פתח תקווה מנדל,42,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741732,יום שלישי,20-01-2026,17,19:00,הפועל אילת,1278,מכבי רחובות,75,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741729,יום שלישי,20-01-2026,17,19:00,הפועל מגדל העמק-יזרעאל,2267,א.ס. עירוני אשקלון,920,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741733,יום שלישי,20-01-2026,17,19:00,מכבי מעלה אדומים,3745,אליצור שומרון,4083,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741734,יום שלישי,20-01-2026,17,19:00,הפועל נווה שאנן חיפה,4153,א.ס. אשקלון-קרית גת,3043,"היכל הספורט רוממה, חיפה",,
לאומית,741730,יום שלישי,20-01-2026,17,19:00,מכבי אשדוד,7261,מכבי חיפה גיא נתן,69,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741735,יום שלישי,20-01-2026,17,19:30,מ.ס צפת,4818,א.ס רמה&quot;ש ירק השדה,585,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741728,יום שלישי,20-01-2026,17,19:30,מ.כ עוטף דרום,12645,עירוני נהריה,26,"מועצה אזורית אשכול, קיבוץ מגן",,
לאומית,741740,יום שלישי,27-01-2026,18,18:30,מכבי רחובות,75,אליצור יבנה,168,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741737,יום שלישי,27-01-2026,18,19:00,עירוני נהריה,26,הפועל נווה שאנן חיפה,4153,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741742,יום שלישי,27-01-2026,18,19:00,מכבי חיפה גיא נתן,69,הפועל מגדל העמק-יזרעאל,2267,"היכל הספורט רוממה, חיפה",,
לאומית,741736,יום שלישי,27-01-2026,18,19:00,א.ס רמה&quot;ש ירק השדה,585,מ.כ עוטף דרום,12645,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741743,יום שלישי,27-01-2026,18,19:00,א.ס. עירוני אשקלון,920,מ.ס צפת,4818,"שד' בן גוריון 37, אשקלון",,
לאומית,741738,יום שלישי,27-01-2026,18,19:00,א.ס. אשקלון-קרית גת,3043,מכבי מעלה אדומים,3745,"רח' אבני החושן, קרית גת",,
לאומית,741739,יום שלישי,27-01-2026,18,19:00,אליצור שומרון,4083,הפועל אילת,1278,"ישיבת אמית, ברוכין",,
לאומית,741741,יום שלישי,27-01-2026,18,19:30,מכבי פתח תקווה מנדל,42,מכבי אשדוד,7261,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741749,יום שלישי,03-02-2026,19,19:00,אליצור יבנה,168,אליצור שומרון,4083,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
לאומית,741751,יום שלישי,03-02-2026,19,19:00,א.ס. עירוני אשקלון,920,א.ס רמה&quot;ש ירק השדה,585,"שד' בן גוריון 37, אשקלון",,
לאומית,741750,יום שלישי,03-02-2026,19,19:00,הפועל אילת,1278,א.ס. אשקלון-קרית גת,3043,"אולם בגין, רח' הספורטאים 1, אילת",,
לאומית,741747,יום שלישי,03-02-2026,19,19:00,הפועל מגדל העמק-יזרעאל,2267,מכבי פתח תקווה מנדל,42,"ביה""ס יערת העמק, מגדל העמק",,
לאומית,741744,יום שלישי,03-02-2026,19,19:00,מכבי מעלה אדומים,3745,עירוני נהריה,26,"רח' דרך הגיא 5, מעלה אדומים",,
לאומית,741745,יום שלישי,03-02-2026,19,19:00,הפועל נווה שאנן חיפה,4153,מ.כ עוטף דרום,12645,"היכל הספורט רוממה, חיפה",,
לאומית,741748,יום שלישי,03-02-2026,19,19:00,מכבי אשדוד,7261,מכבי רחובות,75,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
לאומית,741746,יום שלישי,03-02-2026,19,19:30,מ.ס צפת,4818,מכבי חיפה גיא נתן,69,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
לאומית,741757,יום שלישי,10-02-2026,20,18:30,מכבי רחובות,75,הפועל מגדל העמק-יזרעאל,2267,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
לאומית,741754,יום שלישי,10-02-2026,20,19:00,עירוני נהריה,26,הפועל אילת,1278,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
לאומית,741759,יום שלישי,10-02-2026,20,19:00,מכבי חיפה גיא נתן,69,א.ס. עירוני אשקלון,920,"היכל הספורט רוממה, חיפה",,
לאומית,741752,יום שלישי,10-02-2026,20,19:00,א.ס רמה&quot;ש ירק השדה,585,הפועל נווה שאנן חיפה,4153,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
לאומית,741755,יום שלישי,10-02-2026,20,19:00,א.ס. אשקלון-קרית גת,3043,אליצור יבנה,168,"רח' אבני החושן, קרית גת",,
לאומית,741756,יום שלישי,10-02-2026,20,19:00,אליצור שומרון,4083,מכבי אשדוד,7261,"ישיבת אמית, ברוכין",,
לאומית,741758,יום שלישי,10-02-2026,20,19:30,מכבי פתח תקווה מנדל,42,מ.ס צפת,4818,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
לאומית,741753,יום שלישי,10-02-2026,20,19:30,מ.כ עוטף דרום,12645,מכבי מעלה אדומים,3745,"מועצה אזורית אשכול, קיבוץ מגן",,
