game_id,team,number,player_name,player_url,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
741609,א.ס. עירוני אשקלון,10,עמית סנקר,https://ibasketball.co.il/player/3468ec2e041918e8-68079799/,1,24,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,2,0,2,2,1,0,3,5,0,0,6
741609,א.ס. עירוני אשקלון,73,עוז לביא,https://ibasketball.co.il/player/2268ec25273b4375-96495249/,1,23,8,3,3,100.0,0,2,0.0,3,5,60.0,2,2,100.0,4,2,6,2,3,0,1,3,1,0,16
741609,א.ס. עירוני אשקלון,8,עידו פליישר,https://ibasketball.co.il/player/2768ec249e850c67-76959740/,1,22,5,2,5,40.0,0,0,0.0,2,5,40.0,1,2,50.0,5,3,8,3,2,1,0,1,0,0,10
741609,א.ס. עירוני אשקלון,5,ברנדון באומן,https://ibasketball.co.il/player/3668ec357796e8a1-22831634/,0,24,15,5,8,62.5,1,3,33.3,6,11,54.5,2,3,66.7,3,0,3,0,2,0,2,3,0,1,14
741609,א.ס. עירוני אשקלון,6,עומר פולג,https://ibasketball.co.il/player/3568ec2d464d33b2-65147665/,0,21,11,4,8,50.0,1,2,50.0,5,10,50.0,0,0,0.0,1,0,1,2,2,4,0,3,0,2,11
741609,א.ס. עירוני אשקלון,22,עמית זיס,https://ibasketball.co.il/player/2768ec2461c77142-08848421/,0,13,4,1,2,50.0,0,0,0.0,1,2,50.0,2,2,100.0,2,1,3,1,2,0,0,2,0,0,9
741609,א.ס. עירוני אשקלון,4,אריאל ג'אן,https://ibasketball.co.il/player/2468ec27a3ed0910-70772037/,0,11,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,1,0,0,0,-5
741609,א.ס. עירוני אשקלון,13,אביב קוקוטק,https://ibasketball.co.il/player/3568ec2ea4e9a280-37406654/,0,2,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,-3
741609,הפועל מגדל העמק/יזרעאל,1,דשון בורק,https://ibasketball.co.il/player/1268ec234218aaf9-11704214/,1,36,19,5,11,45.5,3,12,25.0,8,23,34.8,0,2,0.0,4,1,5,2,3,4,2,10,1,1,20
741609,הפועל מגדל העמק/יזרעאל,14,אביב שמעוני,https://ibasketball.co.il/player/3268ec2d67d6e673-29702592/,1,27,14,2,4,50.0,2,2,100.0,4,6,66.7,4,4,100.0,5,0,5,4,3,0,1,0,0,0,15
741609,הפועל מגדל העמק/יזרעאל,7,יהל פלג,https://ibasketball.co.il/player/2968ec254385f7e0-63566415/,1,19,11,4,5,80.0,1,4,25.0,5,9,55.6,0,0,0.0,1,2,3,5,1,2,2,6,0,0,12
741609,הפועל מגדל העמק/יזרעאל,6,טום סיגטי,https://ibasketball.co.il/player/2968ec253948d682-09610955/,1,17,7,3,6,50.0,0,1,0.0,3,7,42.9,1,2,50.0,1,2,3,1,1,1,1,1,0,0,6
741609,הפועל מגדל העמק/יזרעאל,13,ברנדון אדווארדס,https://ibasketball.co.il/player/1168ec234430c024-59639919/,1,15,4,2,3,66.7,0,1,0.0,2,4,50.0,0,0,0.0,1,1,2,0,1,1,0,0,0,0,6
741609,הפועל מגדל העמק/יזרעאל,24,עידן אלבר,https://ibasketball.co.il/player/2368ec24d9dcc5d1-17939087/,0,28,26,10,11,90.9,1,3,33.3,11,14,78.6,3,4,75.0,1,1,2,3,2,1,4,6,0,0,26
741609,הפועל מגדל העמק/יזרעאל,5,ניב למפרט,https://ibasketball.co.il/player/3068ec2e451d94f4-15788953/,0,15,5,1,3,33.3,1,3,33.3,2,6,33.3,0,2,0.0,1,1,2,1,2,1,1,4,0,0,6
741609,הפועל מגדל העמק/יזרעאל,17,אורי עובדיה,https://ibasketball.co.il/player/3268ec2e4f18d2b8-12412956/,0,13,10,2,4,50.0,0,1,0.0,2,5,40.0,6,6,100.0,2,4,6,2,4,0,0,0,1,0,16
741609,הפועל מגדל העמק/יזרעאל,19,מקסים פוקסמן,https://ibasketball.co.il/player/3168ec2df4a6e458-80807318/,0,11,2,1,3,33.3,0,1,0.0,1,4,25.0,0,0,0.0,0,3,3,1,0,0,1,0,1,0,1
741609,הפועל מגדל העמק/יזרעאל,9,ניתאי רוזנברג,https://ibasketball.co.il/player/2568ec2522002202-44701407/,0,11,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,2,0,0,0,-5
741609,הפועל מגדל העמק/יזרעאל,35,אלון הרשקוביץ,https://ibasketball.co.il/player/2768ec2618dc1129-72483568/,0,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,1,0,0,0
741609,הפועל מגדל העמק/יזרעאל,11,יהלי שטיינהאור,https://ibasketball.co.il/player/3868ec2e350cb799-46433256/,0,3,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0
741614,מכבי קרית גת,3,מייקל גרין,https://ibasketball.co.il/player/1368ec2347eedf65-58720394/,1,31,19,3,7,42.9,3,4,75.0,6,11,54.5,4,4,100.0,4,1,5,3,3,1,3,12,0,1,28
741614,מכבי קרית גת,1,מקסים רומנוב,https://ibasketball.co.il/player/2568ec8e6a2e9625-29985941/,1,27,15,5,10,50.0,1,1,100.0,6,11,54.5,2,2,100.0,6,2,8,0,2,0,3,2,1,1,19
741614,מכבי קרית גת,33,דיימונד סטון,https://ibasketball.co.il/player/1768ec2348c74ea6-92602776/,1,24,18,8,11,72.7,0,3,0.0,8,14,57.1,2,3,66.7,11,1,12,4,3,0,5,2,2,0,21
741614,מכבי קרית גת,13,מאור נקרשביץ,https://ibasketball.co.il/player/2968ec25e95688b1-84430668/,1,21,6,1,2,50.0,1,2,50.0,2,4,50.0,1,2,50.0,2,2,4,1,1,0,1,1,0,0,7
741614,מכבי קרית גת,18,בן אונצ'ה,https://ibasketball.co.il/player/3468ec2e29dc8738-73347867/,1,19,2,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,2,0,2,3,3,1,0,1,0,0,4
741614,מכבי קרית גת,7,עמית שדה,https://ibasketball.co.il/player/2368ec24dd4acf51-93988445/,0,27,15,2,9,22.2,1,5,20.0,3,14,21.4,8,10,80.0,4,1,5,1,6,0,4,2,0,2,8
741614,מכבי קרית גת,26,ניב בלול,https://ibasketball.co.il/player/2768ece9d2d9ff75-30745004/,0,19,5,1,4,25.0,1,2,50.0,2,6,33.3,0,0,0.0,2,1,3,2,0,2,0,1,0,1,4
741614,מכבי קרית גת,12,זיו מעוז,https://ibasketball.co.il/player/3768ec2e10c7bc59-20932459/,0,14,0,0,0,0.0,0,1,0.0,0,1,0.0,0,1,0.0,3,2,5,5,0,3,0,0,0,0,1
