Name,Current Team,Date Of Birth,Height,Number,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
אביב קוקוטק,א.ס. עירוני אשקלון,2005/01/26,1.86,13.0,הפועל עמק חפר (ארצית צפון),הפועל גלבוע מעיינות (נוער על גמרסל),,,,,,,,,,
אביב שמעוני,הפועל מגדל העמק/יזרעאל,1996/08/28,1.98,14.0,אליצור שומרון חלפ (לאומית),אליצור שומרון חלפ (לאומית),הפועל רמת גן/גבעתיים (לאומית),"א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)",מכבי רעננה עירוני (לאומית),הפועל נווה שאנן חיפה שובל (לאומית),,,,
אבישי יטח,הפועל נווה שאנן חיפה,2006/03/08,2.04,8.0,"הפועל עפולה (ליגת על), הפועל עפולה חן (נוער על תחתון צפון)",,,,,,,,,,,
אביתר מור יוסף,מכבי גיא נתן חיפה,2001/07/22,1.9,77.0,א.ס. עירוני אשקלון (לאומית),בני הרצליה פנלינק (ליגת על),הפועל חבל מודיעין (לאומית),הפועל חבל מודיעין (לאומית),"הפועל עמק חפר רופין (נוער לאומית צפון), הפועל עמק חפר (ארצית צפון)",,,,,,,
אדוארד קושניר,"מכבי מנדל פ""ת",2005/03/27,2.0,15.0,הפועל חבל מודיעין (ארצית דרום),מכבי רעננה עירוני (נוער לאומית צפון),,,,,,,,,,
אדר אוליאל,א.ס. עירוני אשקלון,2007/03/11,1.97,,,,,,,,,,,,,
אוהד דקל,מ.כ עוטף דרום,2002/08/31,2.05,16.0,הפועל מגידו (ארצית צפון),,,,,,,,,,,
אוסטין טילמן,הפועל אסטרל אילת,1995/12/02,1.85,17.0,הפועל אילת (לאומית),,,,,,,,,,,
אופיר גולדשטיין,"מכבי מנדל פ""ת",2001/12/06,2.05,84.0,אליצור יבנה (לאומית),מכבי חיפה גיא (לאומית),"א.ס. רמה""ש ירק השדה (לאומית)",מכבי הוד השרון סנו (לאומית),"הפועל נס ציונה רוטנש (נוער על דרום), הפועל נס ציונה ליונס (ב דן), הפועל נס ציונה חי מו (ליגת על)",,,,,,,
אופק מלכה,"א.ס רמה""ש ירק השדה",2000/02/10,1.81,31.0,,"א.ס. רמה""ש ירק השדה (לאומית)",מכבי חיפה גיא (לאומית),מכבי רעננה עירוני (לאומית),"בני הרצליה פנלינק (ליגת על), מכבי הוד השרון סנו (לאומית), מכבי רעננה עירוני (לאומית)","בני הרצליה פנלינק (לאומית), מכבי הוד השרון סנו (לאומית)",מכבי הוד השרון סנו (לאומית),הפועל עמק חפר אלטשול (נוער על צפון),,,,
אור חן,הפועל גליל עליון,2005/05/11,1.92,23,,,,,,,,,,,,
אור פורר,אליצור יבנה,2006/08/22,1.85,8.0,אליצור יבנה דנן (נוער על תחתון דרום),,,,,,,,,,,
אורי חי,אליצור יבנה,1999/05/15,1.91,11.0,מכבי רחובות (לאומית),מכבי רעננה עירוני (לאומית),"א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)",מכבי תל אביב/שהם (ארצית -דרום),מכבי תל אביב/שהם (ארצית -דרום),הפועל ירושלים עזרא (נוער על -בית עליון),,,
אורי יאיר,עירוני נהריה,2006/01/31,1.94,10.0,"הפועל עמק חפר (ארצית צפון), הפועל עמק חפר רופין (נוער לאומית צפון)",,,,,,,,,,,
אורי ירמולובסקי,מכבי רחובות,2005/08/08,1.85,8.0,הפועל גלבוע ברוש (ארצית צפון),הפועל עמק חפר רופין (נוער לאומית צפון),,,,,,,,,,
אורי כהן,"א.ס רמה""ש ירק השדה",2005/02/13,2.0,25.0,"מכבי ת""א פלייטיקה (ליגת על), אליצור שומרון חלפ (לאומית)",אליצור נתניה עירוני (לאומית),מכבי תל אביב טדי (נוער על גמרסל),,,,,,,,,
אורי נדלר,עירוני נהריה,2002/10/03,1.95,34.0,הפועל עמק חפר (ארצית צפון),הפועל מגדל העמק יזרע (ארצית צפון),,,,,,,,,,
אורי עובדיה,הפועל מגדל העמק/יזרעאל,2005/02/24,2.0,17.0,הפועל עפולה (ליגת על),הפועל עמק יזרעאל (נוער על גמרסל),,,,,,,,,,
איאן מרטינז,אליצור יבנה,2001/07/24,1.93,24,,,,,,,,,,,,
איגור נסטרנקו,מכבי רחובות,1990/08/18,2.03,18.0,מכבי רחובות (לאומית),מכבי ראשון לציון (לאומית),מכבי ראשון לציון (לאומית),הפועל נווה שאנן חיפה שובל (ליגת על),הפועל נווה שאנן חיפה שובל (ליגת על),הפועל נווה שאנן חיפה שובל (לאומית),הפועל נהריה (ליגת על),הפועל נהריה (ליגת על),הפועל נהריה (ליגת על),הפועל נס ציונה חי מו (ליגת על),מכבי ראשון לציון (ליגת על),מכבי ראשון לציון (ליגת על)
אייל ננקין,"מכבי מנדל פ""ת",2000/03/04,1.99,6,,,,,,,,,,,,
איירה לי,"א.ס רמה""ש ירק השדה",1998/03/19,2.02,44.0,"א.ס. רמה""ש ירק השדה (לאומית)",,,,,,,,,,,
אילון פולג,הפועל נווה שאנן חיפה,2005/09/26,1.93,45.0,הפועל ח. השרון קלינה (ארצית צפון),הפועל ירושלים ב.יהב (ליגת על),הפועל לב השרון מקי (נוער לאומית צפון),,,,,,,,,
אילון ששון,מכבי גיא נתן חיפה,2003/03/20,1.95,3.0,מכבי חיפה גיא (ארצית צפון),"הפועל ירושלים ב.יהב (ליגת על), מכבי חיפה גיא (לאומית)",מכבי מעלה אדומים (לאומית),הפועל ירושלים ב.יהב (ליגת על),"הפועל ירושלים עזרא (נוער על דרום), הפועל ירושלים ב.יהב (ליגת על)",,,,,,,
איליי אלול,מכבי אשדוד יאשה,2007/09/03,1.85,4,,,,,,,,,,,,
איתי זלכה,א.ס. רמת השרון,2007/03/01,1.92,4,,,,,,,,,,,,
