player_name,team,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
כריס קלארק,עירוני נהריה,5,5,32.6,12.8,4.8,10.2,47.1,3.4,7.2,47.2,1.4,3.0,46.7,1.8,2.2,81.8,10.8,2.0,12.8,6.2,1.6,4.0,2.2,3.2,0.0,0.2,24.4
כריסטיאן דיו ג'ונס,מכבי מעלה אדומים,9,9,29.4,12.8,5.2,11.0,47.5,5.0,10.3,48.4,0.2,0.7,33.3,2.1,3.7,57.6,6.7,1.7,8.3,2.2,1.6,1.9,1.6,3.0,0.7,0.2,17.6
ליאם ביטון,הפועל אסטרל אילת,4,0,2.0,1.8,0.8,0.8,100.0,0.8,0.8,100.0,0.0,0.0,0.0,0.2,0.2,100.0,0.2,0.2,0.5,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.8
ליעד משען,מ.כ עוטף דרום,4,0,7.0,2.5,1.0,2.0,50.0,0.5,1.0,50.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.8,0.2,0.0,0.0,0.5
מאור נקרשביץ,מכבי קרית גת,8,5,16.4,3.2,1.1,3.5,32.1,1.0,2.0,50.0,0.1,1.5,8.3,0.9,1.5,58.3,2.8,0.4,3.1,0.5,0.4,0.8,1.5,1.1,0.0,0.2,2.9
מייקל גרין,מכבי קרית גת,10,10,34.6,21.9,7.0,19.8,35.4,3.5,9.5,36.8,3.5,10.3,34.0,4.4,5.2,84.6,3.2,0.2,3.4,6.0,1.9,2.5,3.0,6.1,0.0,1.4,18.8
מייקל הוליפלד,עירוני נהריה,5,5,26.0,13.2,5.4,7.6,71.1,5.4,7.6,71.1,0.0,0.0,0.0,2.4,4.4,54.5,7.4,3.8,11.2,0.0,1.2,2.6,2.8,5.6,1.4,0.0,23.0
מירון כץ,מכבי רחובות,8,0,6.9,1.0,0.4,1.6,23.1,0.1,0.2,50.0,0.2,1.4,18.2,0.0,0.0,0.0,0.1,0.0,0.1,0.6,0.1,0.2,1.0,0.1,0.0,0.0,-0.5
מירון רוינה,הפועל אסטרל אילת,2,0,17.0,5.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,4.0,75.0,0.5,2.0,2.5,0.5,0.5,1.5,2.5,2.5,0.0,0.0,5.0
מקסים פוקסמן,הפועל מגדל העמק/יזרעאל,10,7,26.1,8.4,3.2,6.3,50.8,2.6,5.1,51.0,0.6,1.2,50.0,1.4,2.0,70.0,4.6,1.3,5.9,2.4,0.9,1.3,2.2,1.4,1.9,0.3,13.4
מקסים רומנוב,מכבי קרית גת,2,2,29.5,14.5,5.5,9.0,61.1,5.0,8.5,58.8,0.5,0.5,100.0,3.0,3.5,85.7,6.5,3.0,9.5,2.0,0.0,4.0,2.0,3.0,0.5,0.5,19.0
מרסלוס ארלנגטון,עירוני נהריה,5,5,29.6,23.0,8.0,16.0,50.0,7.2,13.0,55.4,0.8,3.0,26.7,6.2,7.4,83.8,5.8,3.2,9.0,2.2,1.6,2.2,3.0,7.4,0.2,1.6,27.4
מתן בן אקן,מכבי אשדוד,5,0,16.0,3.8,1.4,5.2,26.9,0.4,1.2,33.3,1.0,4.0,25.0,0.0,0.8,0.0,1.4,0.4,1.8,0.4,1.2,0.2,1.8,0.6,0.0,0.4,0.8
מתן חכמו,אליצור שומרון,10,7,22.6,5.5,2.3,5.2,44.2,1.8,3.9,46.2,0.5,1.3,38.5,0.4,1.0,40.0,1.8,0.3,2.1,2.6,0.9,2.3,3.9,1.2,0.2,0.2,2.5
מתן שטרייט,מ.כ עוטף דרום,6,0,5.7,1.7,0.5,1.0,50.0,0.3,0.5,66.7,0.2,0.5,33.3,0.5,0.5,100.0,0.3,0.2,0.5,0.2,0.2,0.0,1.5,0.3,0.2,0.2,0.8
נאור שרון,מכבי גיא נתן חיפה,3,3,37.3,12.7,4.3,9.7,44.8,2.3,4.3,53.8,2.0,5.3,37.5,2.0,2.3,85.7,5.3,0.3,5.7,8.0,1.7,2.3,3.3,3.7,0.0,0.0,20.3
נאור שרון,מכבי חיפה גיא נתן,7,7,33.6,10.1,3.6,10.1,35.2,2.1,5.6,38.5,1.4,4.6,31.2,1.6,1.6,100.0,3.7,0.1,3.9,7.4,0.9,3.9,1.3,1.9,0.0,0.3,12.1
נבו זומרפלד,מ.כ עוטף דרום,9,4,17.1,4.9,1.7,4.3,38.5,1.0,1.9,52.9,0.7,2.4,27.3,0.9,1.6,57.1,2.3,0.8,3.1,3.8,0.7,1.6,3.1,0.9,0.3,0.0,5.7
נווה מינץ,מכבי גיא נתן חיפה,2,0,7.5,2.5,0.5,1.0,50.0,0.5,1.0,50.0,0.0,0.0,0.0,1.5,2.0,75.0,1.5,1.0,2.5,1.0,0.5,1.5,2.5,1.0,0.0,0.0,2.5
נווה מינץ,מכבי חיפה גיא נתן,6,1,14.2,4.8,2.2,4.0,54.2,2.2,3.8,56.5,0.0,0.2,0.0,0.5,1.0,50.0,2.3,1.7,4.0,0.5,0.3,0.3,2.2,1.5,0.2,0.3,6.2
נועם אקריש,מ.ס צפת,10,10,25.8,8.7,2.9,7.9,36.7,1.1,2.9,37.9,1.8,5.0,36.0,1.1,1.4,78.6,4.5,1.3,5.8,2.0,0.6,1.6,3.6,0.8,0.3,0.1,7.5
נועם יעקובי,מכבי אשדוד,10,0,15.0,5.9,1.8,4.9,36.7,1.0,2.8,35.7,0.8,2.1,38.1,1.5,2.3,65.2,1.0,0.5,1.5,2.7,0.6,1.5,2.0,2.5,0.0,0.0,5.8
נועם ניסן,מכבי קרית גת,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ניב אבידן,הפועל אסטרל אילת,7,0,7.0,1.7,0.7,1.9,38.5,0.6,1.6,36.4,0.1,0.3,50.0,0.1,0.3,50.0,0.9,0.4,1.3,0.1,0.1,0.1,0.7,0.1,0.4,0.0,1.7
ניב בלול,מכבי קרית גת,10,4,23.0,6.2,2.4,5.2,46.2,1.0,2.3,43.5,1.4,2.9,48.3,0.0,0.0,0.0,2.8,0.5,3.3,0.9,0.2,0.5,3.1,0.3,0.1,0.1,4.5
ניב למפרט,הפועל מגדל העמק/יזרעאל,10,5,21.3,10.7,4.1,8.3,49.4,2.8,5.0,56.0,1.3,3.3,39.4,1.2,2.0,60.0,2.5,1.0,3.5,3.8,1.7,1.5,3.0,2.4,0.3,0.3,12.5
ניב פילוסוף,"מכבי פ""ת",10,3,10.2,2.3,0.8,2.8,28.6,0.4,0.7,57.1,0.4,2.1,19.0,0.3,0.3,100.0,0.5,0.4,0.9,0.1,0.2,0.4,1.2,0.8,0.0,0.1,0.6
ניקולס אסתרזון,מכבי אשדוד,4,0,3.5,0.5,0.2,0.5,50.0,0.2,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.8,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.5
ניתאי טפרברג,מכבי חיפה גיא נתן,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
